, 42160 692  511   31 ILULISSAT/JAKOBSHAVN GREENLAND     17842013
167,1951 -134 -201 -200 -108   26   64   69   59   41  -48  -54 -141
168,1952 -147 -158 -173  -89   10   52   72   70   39  -25  -48  -66
169,1953 -120 -159 -171  -42  -12   31   75   60   16  -54 -104 -174
170,1954 -100 -167 -104  -48   27   38   54   59   22  -34  -76 -148
171,1955 -192 -120 -104 -136    0   51   52   41   15   -9  -74 -112
172,1956 -172 -138 -134  -69   -9   33   68   65    4  -43 -100 -156
173,1957 -173 -162 -138  -85   14   69   91   72   42  -45  -70 -131
174,1958 -153 -121 -125 -101   18   55   87   51   15  -36 -108  -79
175,1959  -85 -160 -206  -93   22   52   76   52   17  -15  -66 -132
176,1960 -112 -109 -177 -115    9   58  110   95   28   31  -44 -102
177,1961 -121 -218 -210  -85    8   68   83   67   23  -34  -92  -84
178,1962 -110 -149  -56  -40   21   45   84   51   14  -36  -63  -93
179,1963  -61  -59 -125  -45  -15   30   61   68   12  -53  -89  -73
180,1964  -97  -81 -185  -88  -18   39   47   50   28  -45  -94  -94
181,1965 -126  -65 -122  -82   39   37   80   65   25  -29  -49 -125
182,1966 -172 -128 -164  -83  -15   42   63   80   43   11  -69 -129
183,1967  -79 -146 -160 -101   26   38   79   72   25  -58  -98 -102
184,1968 -155 -137 -182  -53   26   48   88   66   31  -26  -69  -93
185,1969  -91  -93 -136  -80   22   51   71   69   16  -55  -56 -127
186,1970 -179 -121 -148  -85  -26   38   59   46   46  -32  -72 -108
187,1971 -146 -194 -174  -99   -9   54   84   52   28  -61  -86 -217
188,1972 -174 -163 -183 -114   23   20   42   48   45  -25 -102 -135
189,1973 -103 -185 -169  -52  -17   39   67   69   33  -22  -82  -99
190,1974 -143 -138 -102  -58   12   41   75   66   23  -15  -90 -203
191,1975 -174 -146 -165  -92    4   51   80   69   12  -25  -96 -128
192,1976 -158 -168 -139  -92    1   54   78   43   50  -31  -65  -63
193,1977  -95  -99  -98  -46   15   36   93   72   16  -41  -50 -111
194,1978 -141 -129 -149  -70   -4   26   94   75   33  -29 -124  -15
195,1979  -80 -123 -121  -47    1   39   74   71   19  -26 -111 -120
196,1980  -58 -110  -91  -81   16   43   76   70   32  -31  -66 -108
197,1981 -134 -166 -115  -70   10   61   79   56   32  -31  -90  -84
198,1982 -101 -191 -160  -86  -14   46   79   57    7  -42  -98 -145
199,1983 -321 -229 -241 -101  -11   45   70   47   23  -57  -95 -117
200,1984 -243 -321 -194 -140  -48   33   89   59   20  -48  -77 -129
201,1985  -60 -144 -132  -56   41   68   91   70   38  -48  -61  -70
202,1986  -77  -35 -143  -72   -3   39   72   78   36  -65 -131 -126
203,1987 -110 -198 -152 -120    2   69   76   95   28  -45  -63 -132
204,1988 -153  -96 -131  -81    7   44   77   74   31  -17  -50 -105
205,1989 -181 -239 -216  -95  -15   43   73   58    1  -57  -50 -105
206,1990 -169 -192 -182 -114    0   82   87   65   14  -48  -54 -124
207,1991 -194 -122 -123 -124  -28   50   88   60   31  -23 -105  -96
208,1992 -130 -267 -227 -113  -48   18   63   50   18   -1 -101 -133
209,1993 -210 -204 -265 -116  -18   56   82   56   44   -2 -107 -148
210,1994 -181 -166 -234  -89   14   38   72   65    8  -54  -77 -142
211,1995 -236 -224 -234  -58   24   73   89   63   49  -46  -19  -97
212,1996 -117 -131 -148  -78    9   40   65   50   15  -46  -77  -65
213,1997  -89 -191 -165 -104    7   83   56   52   16  -22  -60  -68
214,1998  -86 -197 -159  -42    5   66   87   67   30  -34  -63  -52
215,1999 -135 -188 -162  -59  -44   37   88   69   11  -42  -90  -87
216,2000 -120 -143 -149  -19  -10   73   79   69   43  -43  -51  -90
217,2001 -140 -164 -135  -62  -11   57   90   90   37  -26  -74  -89
218,2002  -86 -200 -178 -107   27   54   69   52   51  -25  -48  -66
219,2003  -67 -141  -88  -54   12   78   83   74   39    9  -72  -74
220,2004 -117 -116 -155  -75   25   55   69   70   26   -2  -50 -137
221,2005 -126  -81  -51  -58    4   78   88   77   20  -41  -38  -86
222,2006 -157 -103  -88  -78   15   48   80   82   41  -26  -97 -103
223,2007  -97  -56 -117  -86    1   60   96   76   16  -41  -63 -108
224,2008 -158 -175 -131  -50   19   69   93   68   19  -38  -72  -90
225,2009  -86  -96 -172  -81    8   58   91   78   16  -36 -110  -60
226,2010  -79  -60  -93  -42   37   70   88   85   55  -15  -20  -37
227,2011  -93 -106 -136 -138  -12   56  102   67   19  -52  -82 -118
228,2012 -128 -138 -168  -55   17   75   93   73   37  -13  -69  -94
229,2013  -95 -126  -90  -47  -32   64   76   56   26  -34  -84 -115
